                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.99821,                 0.9985,                 1.3941,                0.76204,                0.67912,                0.71925,                0.55856,                 0.9311,                0.69416,                  1.318,              0.0090719,              0.0090719,              0.0090719
                     78,                0.99842,                0.99672,                 1.3839,                0.74131,                  0.694,                 0.7202,                0.55778,                 0.9373,                0.69341,                 1.3191,              0.0090595,              0.0090595,              0.0090595
                     79,                0.98563,                0.97957,                   1.38,                0.73723,                0.68372,                0.71403,                0.55563,                0.93113,                 0.7049,                 1.3124,              0.0090471,              0.0090471,              0.0090471
                     80,                0.99484,                 1.0066,                 1.3871,                0.76444,                0.67874,                0.72544,                0.56256,                0.93362,                0.69171,                 1.3088,              0.0090347,              0.0090347,              0.0090347
                     81,                0.98786,                0.98279,                 1.3782,                 0.7362,                0.69455,                0.72666,                0.56445,                0.92714,                 0.6965,                 1.3011,              0.0090224,              0.0090224,              0.0090224
                     82,                0.97933,                 0.9766,                 1.3727,                0.75353,                0.67437,                0.72237,                0.56204,                0.92295,                0.68012,                 1.2944,                0.00901,                0.00901,                0.00901
                     83,                0.97574,                0.97064,                 1.3663,                0.74657,                0.69326,                0.72486,                 0.5653,                 0.9252,                0.68636,                 1.2987,              0.0089976,              0.0089976,              0.0089976
                     84,                0.97358,                0.96991,                 1.3672,                0.72894,                0.69694,                0.72642,                0.56757,                0.92599,                 0.6696,                 1.3019,              0.0089853,              0.0089853,              0.0089853
                     85,                0.97369,                0.96369,                 1.3628,                0.75885,                0.68191,                0.72694,                0.56804,                0.92326,                0.66434,                 1.3065,              0.0089729,              0.0089729,              0.0089729
                     86,                  0.978,                0.95745,                 1.3633,                0.75667,                0.69521,                0.73067,                0.57038,                0.91932,                0.67186,                 1.2954,              0.0089605,              0.0089605,              0.0089605
                     87,                0.97236,                0.96691,                 1.3651,                0.76905,                 0.6878,                0.73325,                0.56921,                0.91601,                0.66628,                 1.2966,              0.0089481,              0.0089481,              0.0089481
                     88,                0.97227,                0.96926,                 1.3691,                0.76526,                0.69032,                0.72634,                0.56941,                0.91163,                0.66676,                 1.2962,              0.0089358,              0.0089358,              0.0089358
                     89,                0.96946,                0.95909,                 1.3607,                0.77215,                0.67325,                0.72659,                0.56951,                0.91151,                0.66735,                  1.291,              0.0089234,              0.0089234,              0.0089234
                     90,                0.96636,                0.95712,                 1.3582,                0.76291,                0.68617,                  0.724,                0.56793,                0.91502,                0.66912,                  1.288,               0.008911,               0.008911,               0.008911
